# Electric Meter Monitor
# Date,2026-04-20 11:38:08
# SampleInterval,400
# Rows,364
# Signal,0,Voltage,V,FF1E90FF,1
# Signal,1,Current,A,FF00DC96,0
# Signal,2,P Active,W,FFFFB932,2
# Signal,3,Q React.,VAR,FFFF6432,2
# Signal,4,S Apprt.,VA,FFC882FF,2
# Signal,5,PF,PF,FFFF6E6E,2
# Signal,6,Frequency,Hz,FF8CC8FF,4
# Signal,7,Phase Dir,,FFFFDC00,4
# Signal,8,THDi 1,%,FF00DC78,3
# Signal,9,THDi 2,%,FF00BE5F,3
# Signal,10,THDi N,%,FF00FAAA,3
# Signal,11,THDu 1N,%,FF6EB9FF,3
# Signal,12,THDu 2N,%,FF8CD2FF,3
# Signal,13,Current L1,A,FF00C88C,0
# Signal,14,Current L2,A,FF00AA78,0
# Signal,15,Current N,A,FF006E50,0
# Signal,16,Voltage 1N,V,FF82C8FF,1
# Signal,17,Voltage 2N,V,FF96D7FF,1
# Signal,18,P Active L1,W,FFFFC850,2
# Signal,19,P Active L2,W,FFEBB43C,2
# Signal,20,Q React. L1,VAR,FFFF8250,2
# Signal,21,Q React. L2,VAR,FFEB6E3C,2
# Signal,22,S Apprt. L1,VA,FFDC96FF,2
# Signal,23,S Apprt. L2,VA,FFC882EB,2
# Signal,24,PF L1,PF,FFFF8282,2
# Signal,25,PF L2,PF,FFEB6E6E,2
# Signal,26,Angle U1-2,°,FFC8FFC8,4
# Signal,27,Angle U2-3,°,FFB4EBB4,4
# Signal,28,Angle U3-1,°,FFA0D7A0,4
# Signal,29,ePack V Line,V,FF64DCB4,5
# Signal,30,ePack I rms,A,FF00C88C,5
# Signal,31,ePack Iburst,A,FF00AA6E,5
# Signal,32,ePack I,A,FF008C5A,5
# Signal,33,ePack Vrms,V,FF50B4FF,5
# Signal,34,ePack V,V,FF3C96EB,5
# Signal,35,ePack P burst,W,FFFFD250,5
# Signal,36,ePack P,W,FFFFB932,5
# Signal,37,ePack S,VA,FFC882FF,5
# Signal,38,ePack PF,PF,FFFF6E6E,5
# Signal,39,ePack Z,Ohm,FFB4B464,5
# Signal,40,ePack Frequency,Hz,FF8CC8FF,5
# Signal,41,ePack V burst,V,FF2878D7,5
Time (s),Voltage (V),Current (A),P Active (W),Q React. (VAR),S Apprt. (VA),PF (PF),Frequency (Hz),Phase Dir,THDi 1 (%),THDi 2 (%),THDi N (%),THDu 1N (%),THDu 2N (%),Current L1 (A),Current L2 (A),Current N (A),Voltage 1N (V),Voltage 2N (V),P Active L1 (W),P Active L2 (W),Q React. L1 (VAR),Q React. L2 (VAR),S Apprt. L1 (VA),S Apprt. L2 (VA),PF L1 (PF),PF L2 (PF),Angle U1-2 (°),Angle U2-3 (°),Angle U3-1 (°),ePack V Line (V),ePack I rms (A),ePack Iburst (A),ePack I (A),ePack Vrms (V),ePack V (V),ePack P burst (W),ePack P (W),ePack S (VA),ePack PF (PF),ePack Z (Ohm),ePack Frequency (Hz),ePack V burst (V)
0.2273668,235.65,0,0,0,0,1,49.99,-1,0.4,1.5,1.9,2,1.9,0,0,0,234.96,236.22,0,0,0,0,0,0,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6228162,235.72,0,0,0,0,1,49.99,-1,0.4,1.5,0.8,2,1.9,0,0,0,235.08,236.29,0,0,0,0,0,0,1,1,121,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0325556,235.76,0,0,0,0,1,49.99,-1,1.2,1.5,0.8,2,1.9,0,0,0,235.16,236.31,0,0,0,0,0,0,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4483422,235.76,0,0,0,0,1,49.99,-1,1.2,1,0.3,2,1.9,0,0,0,235.16,236.31,0,0,0,0,0,0,1,1,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8474528,235.83,0,0,0,0,1,50,-1,1.2,1,0.3,2,1.8,0,0,0,235.18,236.29,0,0,0,0,0,0,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2556033,236.02,0,0,0,0,1,50,-1,0,0.6,1.2,2,1.8,0,0,0,235.36,236.55,0,0,0,0,0,0,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6630693,236.07,0,0,0,0,1,50,-1,0,0.6,1.2,2,1.8,0,0,0,235.32,236.73,0,0,0,0,0,0,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
3.068779,236.05,0,0,0,0,1,50,-1,0,0.9,1.2,2,1.8,0,0,0,235.4,236.73,0,0,0,0,0,0,1,1,120,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
3.473889,236,0,0,0,0,1,50,-1,0,0.9,4,2,1.8,0,0,0,235.25,236.7,0,0,0,0,0,0,1,1,121,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
3.8739096,236,0,0,0,0,1,50,-1,0,0.9,4,2.1,2,0,0,0,235.25,236.7,0,0,0,0,0,0,1,1,121,121,119,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2816916,235.76,0,0,0,0,1,50,-1,0,0.7,0,2.1,2,0,0,0,235.18,236.33,0,0,0,0,0,0,1,1,121,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
4.695262,235.58,0,0,0,0,1,50,-1,0,0.7,0,2,1.9,0,0,0,234.9,236.16,0,0,0,0,0,0,1,1,121,120,119,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1002022,235.41,0,0,0,0,1,50,-1,0.8,0.5,0,2,1.9,0,0,0,234.88,235.83,0,0,0,0,0,0,1,1,120,120,120,234.66,0,0,0,0,0,0,0,0,0,0,50.2,0
5.509671,235.32,0,0,0,0,1,50,-1,0.8,0.5,0,2,1.9,0,0,0,234.57,235.85,0,0,0,0,0,0,1,1,120,121,120,234.28,0,0,0,0,0,0,0,0,0,0,50,0
